"yr","plt","grp","bio"
2001,97,"ANPP",796.08
2001,98,"ANPP",685.276
2001,99,"ANPP",996.74
2001,100,"ANPP",697.8
2001,101,"ANPP",664.005
2001,102,"ANPP",526.84
2001,103,"ANPP",452.73
2001,104,"ANPP",449.314
2001,105,"ANPP",407.392
2001,106,"ANPP",2132.69
2001,107,"ANPP",727.24
2001,108,"ANPP",613.31
2001,109,"ANPP",338.05
2001,110,"ANPP",786.94
2001,111,"ANPP",870.13
2001,112,"ANPP",461.88
2001,113,"ANPP",557.92
2001,114,"ANPP",441.306
2001,115,"ANPP",389.061
2001,116,"ANPP",227.45
2001,117,"ANPP",452.59
2001,118,"ANPP",1823.96
2001,119,"ANPP",1838.001
2001,120,"ANPP",639.12
2001,121,"ANPP",846.53
2001,122,"ANPP",550.56
2001,123,"ANPP",341.31
2001,124,"ANPP",473.73
2001,125,"ANPP",845.17
2001,126,"ANPP",1710.447
2001,127,"ANPP",504.155
2001,128,"ANPP",988.27
2001,129,"ANPP",653.92
2001,131,"ANPP",629.41
2001,134,"ANPP",214.298
2001,136,"ANPP",268.668
2001,137,"ANPP",773.985
2001,139,"ANPP",428.428
2001,142,"ANPP",539.38
2001,144,"ANPP",651.83
2002,1,"ANPP",716.52
2002,2,"ANPP",496.95
2002,3,"ANPP",394.364
2002,4,"ANPP",1035.82
2002,5,"ANPP",445.39
2002,6,"ANPP",811.49
2002,7,"ANPP",269.01
2002,8,"ANPP",254.89
2002,9,"ANPP",621.203
2002,10,"ANPP",317.111
2002,11,"ANPP",1364.54
2002,12,"ANPP",437.432
2002,13,"ANPP",529.29
2002,14,"ANPP",418.958
2002,15,"ANPP",249.36
2002,16,"ANPP",722.325
2002,17,"ANPP",606.1
2002,18,"ANPP",360.159
2002,19,"ANPP",561.338
2002,20,"ANPP",795.67
2002,21,"ANPP",849.22
2002,22,"ANPP",332.004
2002,23,"ANPP",699.573
2002,24,"ANPP",687.66
2002,25,"ANPP",660.71
2002,26,"ANPP",328.37
2002,27,"ANPP",468.65
2002,28,"ANPP",375.53
2002,29,"ANPP",569.743
2002,30,"ANPP",329.835
2002,31,"ANPP",635.11
2002,32,"ANPP",670.99
2002,33,"ANPP",537.006
2002,34,"ANPP",460.303
2002,35,"ANPP",319.72
2002,36,"ANPP",589.463
2002,37,"ANPP",781.06
2002,38,"ANPP",467.38
2002,39,"ANPP",221.28
2002,40,"ANPP",543.993
2002,41,"ANPP",357.09
2002,42,"ANPP",243.69
2002,43,"ANPP",354.96
2002,44,"ANPP",832.91
2002,45,"ANPP",815.74
2002,46,"ANPP",658.16
2002,47,"ANPP",299.353
2002,48,"ANPP",520.499
2002,49,"ANPP",3039.407
2002,50,"ANPP",475.551
2002,51,"ANPP",681.774
2002,52,"ANPP",665.96
2002,53,"ANPP",585.18
2002,54,"ANPP",796.476
2002,55,"ANPP",517.8
2002,56,"ANPP",513.541
2002,57,"ANPP",422.34
2002,58,"ANPP",320.01
2002,59,"ANPP",655.776
2002,60,"ANPP",971.642
2002,61,"ANPP",342.91
2002,62,"ANPP",370.07
2002,63,"ANPP",665.53
2002,64,"ANPP",324.11
2002,65,"ANPP",403.76
2002,66,"ANPP",348.37
2002,67,"ANPP",426.909
2002,68,"ANPP",702.7
2002,69,"ANPP",736.696
2002,70,"ANPP",734.89
2002,71,"ANPP",399.081
2002,72,"ANPP",823.76
2002,73,"ANPP",441.28
2002,74,"ANPP",668.575
2002,75,"ANPP",591.63
2002,76,"ANPP",1175.6
2002,77,"ANPP",999.86
2002,78,"ANPP",544.96
2002,79,"ANPP",607.73
2002,80,"ANPP",876.45
2002,81,"ANPP",467.87
2002,82,"ANPP",684.854
2002,83,"ANPP",906.95
2002,84,"ANPP",562.48
2002,85,"ANPP",373.852
2002,86,"ANPP",523.62
2002,87,"ANPP",167.73
2002,88,"ANPP",494.89
2002,89,"ANPP",593.48
2002,90,"ANPP",484.11
2002,91,"ANPP",366.88
2002,92,"ANPP",525.39
2002,93,"ANPP",794.04
2002,94,"ANPP",437.09
2002,95,"ANPP",491.436
2002,96,"ANPP",1447.13
2002,97,"ANPP",321.7
2002,98,"ANPP",557.647
2002,99,"ANPP",256.52
2002,100,"ANPP",570.35
2002,101,"ANPP",874.89
2002,102,"ANPP",415.458
2002,103,"ANPP",528.94
2002,104,"ANPP",372.48
